,duration,Max no. resources in a week,Sum of activities delays,network,activities start times,activities end times,activities durations,resources allocation
1688,17,17,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 10, 'F': 4, 'G': 8, 'C': 1, 'D': 8, 'E': 10}","{'A': 9, 'B': 17, 'F': 8, 'G': 10, 'C': 7, 'D': 10, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 10, 10, 10, 12, 12, 12, 8, 17, 11, 10, 10, 10, 4, 4, 4, 4]"
1689,17,16,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 5, 'C': 1, 'D': 11, 'E': 13}","{'A': 8, 'B': 17, 'F': 4, 'G': 7, 'C': 7, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 12, 12, 12, 10, 16, 16, 6, 0, 0, 4, 9, 9, 10, 10, 10, 4]"
1690,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 3, 'D': 10, 'E': 13}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 9, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 2, 8, 12, 12, 16, 16, 10, 10, 6, 9, 9, 4, 10, 10, 10, 4]"
1691,17,16,1,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 4, 'C': 0, 'D': 6, 'E': 8}","{'A': 8, 'B': 17, 'F': 4, 'G': 6, 'C': 6, 'D': 8, 'E': 11}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[12, 12, 12, 12, 16, 16, 11, 11, 6, 6, 10, 4, 4, 4, 4, 4, 4]"
1692,17,12,10,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 4, 'G': 8, 'C': 2, 'D': 9, 'E': 14}","{'A': 8, 'B': 17, 'F': 8, 'G': 10, 'C': 8, 'D': 11, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 10, 10, 12, 12, 12, 12, 6, 11, 9, 4, 4, 4, 10, 10, 10]"
1693,16,16,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 4, 'C': 1, 'D': 7, 'E': 11}","{'A': 9, 'B': 16, 'F': 4, 'G': 6, 'C': 7, 'D': 9, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 12, 12, 12, 16, 16, 10, 11, 11, 4, 4, 10, 10, 10, 4, 4]"
1694,17,12,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 3, 'G': 8, 'C': 2, 'D': 8, 'E': 12}","{'A': 8, 'B': 17, 'F': 7, 'G': 10, 'C': 8, 'D': 10, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 10, 12, 12, 12, 12, 10, 11, 11, 4, 4, 10, 10, 10, 4, 4]"
1695,17,16,11,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 3, 'G': 7, 'C': 3, 'D': 11, 'E': 14}","{'A': 10, 'B': 17, 'F': 7, 'G': 9, 'C': 9, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 0, 6, 12, 12, 12, 12, 16, 16, 6, 4, 9, 9, 4, 10, 10, 10]"
1696,16,17,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 2, 'G': 7, 'C': 0, 'D': 8, 'E': 11}","{'A': 9, 'B': 16, 'F': 6, 'G': 9, 'C': 6, 'D': 10, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[4, 10, 12, 12, 12, 12, 6, 12, 17, 9, 4, 10, 10, 10, 4, 4]"
1697,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 6, 'C': 3, 'D': 12, 'E': 14}","{'A': 8, 'B': 17, 'F': 4, 'G': 8, 'C': 9, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 8, 12, 10, 10, 16, 16, 4, 0, 4, 4, 9, 9, 10, 10, 10]"
